ResourceGroup,AppServiceName,AppServicePlan,OS,SKU,Stack,State,Location,DefaultDomain,AvgCPU(%),AvgMemory(MB)
MaalGari-Production,MaalGariapi-Prod,MaalGari-Prod,Windows,F1,.NET 6.0,Running,UAE North,maalgariapi-prod.azurewebsites.net,0.59,145.09
MaalGari-Production,Maal-Gaari-FE-Prod,MaalGari-Prod,Windows,F1,.NET 6.0,Running,UAE North,maal-gaari-fe-prod.azurewebsites.net,0.03,0.5
MaalGari-Dev,Maal-Gaari-FE-dev,ASP-MaalGariDev-aa95,Windows,F1,.NET Framework 4.0,Running,UAE North,maal-gaari-fe-dev.azurewebsites.net,0.02,0.32
MaalGari-Dev,MaalGariapi-Dev,ASP-MaalGariDev-aa95,Windows,F1,.NET 7.0,Running,UAE North,maalgariapi-dev.azurewebsites.net,0.51,170.44
MaalGari-Dev,maalgaridemo,ASP-MaalGariDev-aa95,Windows,F1,.NET 6.0,Running,UAE North,maalgaridemo.azurewebsites.net,0.01,0.26
DoverXSPOC,DoverXSPOC,ServicePlane70495d5-9170,Windows,F1,.NET Framework 4.0,Running,South Central US,doverxspoc.azurewebsites.net,0,0
csnacms,csnacms,csnaServicePlan,Windows,F1,.NET Framework 4.0,Running,South Central US,csnacms.azurewebsites.net,0.01,0.18
Akron-Dev,akron-dev,akron,Windows,F1,.NET Framework 4.0,Running,South Central US,akron-dev.azurewebsites.net,0,0
Akron-Dev,akronapi-dev,akron,Windows,F1,.NET 8.0,Running,South Central US,akronapi-dev.azurewebsites.net,0,0
DarwinRG,WPIS,ServicePlan5ece8232-9e52,Windows,F1,.NET Framework 4.0,Running,South Central US,wpis.azurewebsites.net,0.04,1.09
DarwinRG,CybersoftDataInspector,ServicePlan5ece8232-9e52,Windows,F1,.NET Framework 4.0,Running,South Central US,cybersoftdatainspector.azurewebsites.net,0,0.1
DetroitLions-Dev,DetroitLions-PWA,DetroitLions-F1,Windows,F1,.NET 8.0,Running,South Central US,detroitlions-pwa.azurewebsites.net,0.01,0.19
DetroitLions-Dev,DetroitLions-API,DetroitLions-F1,Windows,F1,.NET 8.0,Running,South Central US,detroitlions-api.azurewebsites.net,0,0
DetroitLions-Dev,DetroitLions-Portal,DetroitLions-F1,Windows,F1,.NET 8.0,Running,South Central US,detroitlions-portal.azurewebsites.net,0.03,0.47
CSNADashboard,CSNADashboard,ServicePlan35760d32-bd8d,Windows,F1,.NET Framework 4.0,Running,South Central US,csnadashboard.azurewebsites.net,0,0
epatientsystem,epatientsystem,ServicePlan35760d32-bd8d,Windows,F1,.NET Framework 4.0,Running,South Central US,epatientsystem.azurewebsites.net,0,0
DarwinRG,rterunner,ServicePlan35760d32-bd8d,Windows,F1,.NET Framework 4.0,Stopped,South Central US,rterunner.azurewebsites.net,0,0
RealInsightsRG,realinsights,ServicePlan9094fcaa-93ab,Windows,F1,.NET Framework 4.0,Running,South Central US,realinsights.azurewebsites.net,0,0
KysekSML,SMLPortal,ServicePlan9094fcaa-93ab,Windows,F1,.NET Framework 4.0,Running,South Central US,smlportal.azurewebsites.net,1.2,25.23
DarwinRG,cybersoftsoftcustomercare,ServicePlan9094fcaa-93ab,Windows,F1,.NET Framework 4.0,Running,South Central US,cybersoftsoftcustomercare.azurewebsites.net,0,0
DoverTwg,twgMobileApp,ServicePlan9094fcaa-93ab,Windows,F1,.NET Framework 4.0,Stopped,South Central US,twgmobileapp.azurewebsites.net,0,0
DoverTwg,cybersoftcams,ServicePlan9094fcaa-93ab,Windows,F1,.NET Framework 4.0,Running,South Central US,cybersoftcams.azurewebsites.net,0,0
DEAResourceGroup,DoverTWG,Default1,Windows,F1,.NET Framework 4.0,Running,West US,dovertwg.azurewebsites.net,0.05,3.3
DEAResourceGroup,doverWindrock,Default1,Windows,F1,.NET Framework 4.0,Running,West US,doverwindrock.azurewebsites.net,0.04,1.48
Default-Web-WestUS,eyemeapp,Default1,Windows,F1,.NET Framework 4.0,Running,West US,eyemeapp.azurewebsites.net,0,0
DEAResourceGroup,DoverSuite,Default1,Windows,F1,.NET Framework 4.0,Running,West US,doversuite.azurewebsites.net,0.08,1.7
Qontango,qontangoapi2,Default1,Windows,F1,.NET Framework 4.0,Running,West US,qontangoapi2.azurewebsites.net,0,0
Prospect-RG,prospect,Prospect-SP,Windows,F1,.NET Framework 4.0,Stopped,Central US,prospect.azurewebsites.net,0,0
RTEShowCase-RG,RTEShowCase,RTEShowCase-SP,Windows,F1,.NET Framework 4.0,Running,Central US,rteshowcase.azurewebsites.net,0.12,2.59
RSG-SIMPELLO-DEV,simpelloPortalDev,simpelloPortalDev,Windows,F1,.NET 6.0,Running,Central US,simpelloportaldev.azurewebsites.net,0,0
RSG-SIMPELLO-DEV,simpellodevapi,simpelloPortalDev,Windows,F1,.NET 6.0,Running,Central US,simpellodevapi.azurewebsites.net,0,0
RG-DigitalToken,DigitalTokenAPI,DigitalToken-F1-Free,Windows,F1,.NET 6.0,Running,Central US,digitaltokenapi.azurewebsites.net,0,0
RG-DigitalToken,DigitalTokenPWA,DigitalToken-F1-Free,Windows,F1,.NET 6.0,Running,Central US,digitaltokenpwa.azurewebsites.net,0.01,0.31
RG-DigitalToken,DigitalTokenDisplay,DigitalToken-F1-Free,Windows,F1,.NET 6.0,Running,Central US,digitaltokendisplay.azurewebsites.net,0,0.2
RG-DigitalToken,DigitalTokenPortal,DigitalToken-F1-Free,Windows,F1,.NET 6.0,Running,Central US,digitaltokenportal.azurewebsites.net,0,0
DarwinRG,rteapp,RRAppRTE,Linux,B1,.NET Core 3.1,Running,Central US,rteapp.azurewebsites.net,0,0
DarwinRG,rterunnerapp,RRAppRTE,Linux,B1,.NET Core 3.1,Running,Central US,rterunnerapp.azurewebsites.net,2.38,65.48
DarwinRG,rtecloud,ASP-CitrisDev-a810,Linux,F1,.NET Core 3.1,Running,Central US,rtecloud.azurewebsites.net,0,0
CSNADashboard,csnaincwp,ASP-CitrisDev-a810,Linux,F1,PHP 8.0,Running,Central US,csnaincwp.azurewebsites.net,0,0
embeddedmap,embeddedmap,embeddedmap,Windows,F1,.NET 6.0,Running,Central US,embeddedmap.azurewebsites.net,0,0.2
embeddedmap,mulapp1,embeddedmap,Windows,F1,.NET 6.0,Running,Central US,mulapp1.azurewebsites.net,0,0.13
embeddedmap,embeddedmapapi,embeddedmap,Windows,F1,.NET 6.0,Running,Central US,embeddedmapapi.azurewebsites.net,0.01,0.22
KysekSML,keyseksmlapi,LPG-F1-Free,Windows,F1,.NET 6.0,Running,Central US,keyseksmlapi.azurewebsites.net,0.08,1.34
