ResourceGroup,AppServiceName,State
DarwinRG,rterunner,Stopped
DoverTwg,twgMobileApp,Stopped
Prospect-RG,prospect,Stopped
ConnectingCouples-STG,ConnectingCouples-Api-stg,Stopped
Qontango,QontangoRevamp,Stopped
csnainc,csnainc,Stopped
DigitalToken,remotedigitaltoken,Stopped
citris,devcitris,Stopped
CSNADashboard,defaultui,Stopped
IPSS_DEV,ipssdevapp,Stopped
igitenterprise,ezcheckinpwa,Stopped
IPSS,IPSSApp,Stopped
RTEShowCase,rteshowcaseapp,Stopped
CSNADashboard,QontangoMailMerge,Stopped
IPSS,IPSSAPI,Stopped
IPSS_DEV,ipssdevapi,Stopped
CSNA_Products,digitaltokencsna,Stopped
MoultrieFeeder,moultriefeederportal,Stopped
citris,devcitrisapi,Stopped
CSNA_Products,rtecsna,Stopped
KysekSML,moultriefeedersapi,Stopped
RTEProductRecommender,RTEProductRecommender,Stopped
CampBowWow,ibeacongateway,Stopped
CSNA_Products,CMSCSNA,Stopped
